iter	Passed	Remaining
878	1598	220
879	1599	218
880	1601	216
881	1603	214
882	1605	212
883	1607	210
884	1608	209
885	1610	207
886	1611	205
887	1613	203
888	1615	201
889	1617	199
890	1618	198
891	1620	196
892	1622	194
893	1623	192
894	1625	190
895	1626	188
896	1628	186
897	1629	185
898	1631	183
899	1632	181
900	1634	179
901	1635	177
902	1637	175
903	1638	174
904	1640	172
905	1642	170
906	1644	168
907	1646	166
908	1648	165
909	1649	163
910	1651	161
911	1653	159
912	1654	157
913	1656	155
914	1658	154
915	1659	152
916	1661	150
917	1662	148
918	1664	146
919	1666	144
920	1668	143
921	1669	141
922	1671	139
923	1672	137
924	1674	135
925	1675	133
926	1677	132
927	1678	130
928	1680	128
929	1681	126
930	1683	124
931	1685	122
932	1686	121
933	1688	119
934	1690	117
935	1691	115
936	1693	113
937	1694	112
938	1696	110
939	1697	108
940	1699	106
941	1701	104
942	1702	102
943	1704	101
944	1706	99
945	1707	97
946	1709	95
947	1710	93
948	1712	92
949	1713	90
950	1715	88
951	1717	86
952	1719	84
953	1720	82
954	1722	81
955	1723	79
956	1725	77
957	1727	75
958	1728	73
959	1730	72
960	1732	70
961	1733	68
962	1735	66
963	1736	64
964	1738	63
965	1739	61
966	1741	59
967	1743	57
968	1744	55
969	1746	54
970	1748	52
971	1749	50
972	1751	48
973	1753	46
974	1755	45
975	1756	43
976	1758	41
977	1759	39
978	1761	37
979	1762	35
980	1764	34
981	1766	32
982	1768	30
983	1769	28
984	1771	26
985	1772	25
986	1774	23
987	1775	21
988	1777	19
989	1778	17
990	1780	16
991	1782	14
992	1783	12
993	1785	10
994	1786	8
995	1788	7
996	1789	5
997	1791	3
998	1792	1
999	1794	0
